Player,Team,Type,Location,Games,TOTAL POINTS,SUCCESSFUL RAIDS,RAID POINTS,SUCCESSFUL TACKLES,TACKLE POINTS,AVG RAID POINTS,AVG TACKLE POINTS,DO-OR-DIE RAID POINTS,SUPER RAIDS,SUPER TACKLES,SUPER 10S,HIGH 5S
Pawan Kumar Sehrawat,Bengaluru Bulls,Raider,,18,245,180,232,12,13,12.89,0.72,13,5,1,12,
Pardeep Narwal,Patna Pirates,Raider,,19,243,190,243,,,12.79,,38,12,,13,
Naveen Kumar,Dabang Delhi K.C.,Raider,,18,224,185,222,2,2,12.33,0.11,30,2,,17,
Maninder Singh,Bengal Warriors,Raider,,19,192,161,192,,,10.11,0,24,6,,9,
Siddharth Sirish Desai,Telugu Titans,Raider,,17,155,127,152,3,3,8.94,0.18,18,3,,6,
Deepak Niwas Hooda,Jaipur Pink Panthers,All Rounder,,19,146,103,134,10,12,7.05,0.63,24,2,2,6,
Vikash Kandola,Haryana Steelers,Raider,,14,142,107,138,4,4,9.86,0.29,34,5,,8,
Manjeet,Puneri Paltan,Raider,,19,126,82,99,26,27,5.21,1.42,17,2,1,2,
Rahul Chaudhari,Tamil Thalaivas,Raider,,18,120,92,113,7,7,6.28,0.39,24,,,4,
Pankaj Mohite,Puneri Paltan,Raider,,16,113,84,110,3,3,6.88,0.19,24,4,,3,
Shrikant Jadhav,U.P. Yoddha,Raider,,17,106,76,103,3,3,6.06,0.18,24,2,,2,
Rohit Gulia,Gujarat Fortunegiants,All Rounder,,18,105,81,100,5,5,5.56,0.28,11,,,3,
K. Prapanjan,Bengal Warriors,Raider,,18,101,71,99,2,2,5.82,0.11,10,4,,3,
Abhishek Singh,U Mumba,Raider,,15,99,83,98,1,1,6.53,0.07,30,2,,5,
Mohammad Esmaeil Nabibakhsh,Bengal Warriors,All Rounder,,19,95,55,70,23,25,3.68,1.32,7,3,2,1,1
Rohit Kumar,Bengaluru Bulls,Raider,,17,92,69,88,4,4,5.18,0.24,11,2,,3,
